disc_id,original_holdout
P048_L3-L4,train
P048_L4-L5,train
P048_L5-S1,train
P049_L3-L4,train
P049_L4-L5,train
P049_L5-S1,train
P050_L3-L4,train
P050_L4-L5,train
P050_L5-S1,train
P051_L3-L4,train
P051_L4-L5,train
P051_L5-S1,train
P052_L3-L4,test
P052_L4-L5,train
P052_L5-S1,test
P053_L3-L4,test
P053_L4-L5,train
P053_L5-S1,test
P054_L3-L4,train
P054_L4-L5,train
P054_L5-S1,test
P055_L3-L4,train
P055_L4-L5,train
P055_L5-S1,test
P056_L3-L4,test
P056_L4-L5,test
P056_L5-S1,test
P057_L3-L4,train
P057_L4-L5,train
P057_L5-S1,train
P058_L3-L4,train
P058_L4-L5,test
P058_L5-S1,test
P059_L3-L4,train
P059_L4-L5,train
P059_L5-S1,train
P060_L3-L4,train
P060_L4-L5,train
P060_L5-S1,train
P061_L3-L4,test
P061_L4-L5,train
P061_L5-S1,test
P062_L3-L4,train
P062_L4-L5,train
P062_L5-S1,train
P063_L3-L4,train
P063_L4-L5,train
P063_L5-S1,train
P064_L3-L4,train
P064_L4-L5,train
P064_L5-S1,train
P065_L3-L4,train
P065_L4-L5,train
P065_L5-S1,train
P066_L3-L4,test
P066_L4-L5,train
P066_L5-S1,train
P067_L3-L4,train
P067_L4-L5,train
P067_L5-S1,train
P068_L3-L4,train
P068_L4-L5,train
P068_L5-S1,train
P069_L3-L4,test
P069_L4-L5,train
P069_L5-S1,train
P070_L3-L4,train
P070_L4-L5,test
P070_L5-S1,test
P071_L3-L4,train
P071_L4-L5,train
P071_L5-S1,test
P072_L3-L4,train
P072_L4-L5,train
P072_L5-S1,train
P073_L3-L4,train
P073_L4-L5,train
P073_L5-S1,train
P074_L3-L4,train
P074_L4-L5,test
P074_L5-S1,train
P075_L3-L4,train
P075_L4-L5,train
P075_L5-S1,train
P076_L3-L4,test
P076_L4-L5,train
P076_L5-S1,train
P077_L3-L4,train
P077_L4-L5,train
P077_L5-S1,train
P078_L3-L4,train
P078_L4-L5,train
P078_L5-S1,train
P079_L3-L4,test
P079_L4-L5,train
P079_L5-S1,train
P080_L3-L4,train
P080_L4-L5,test
P080_L5-S1,train
P081_L3-L4,train
P081_L4-L5,train
P081_L5-S1,train
P082_L3-L4,train
P082_L4-L5,train
P082_L5-S1,train
P083_L3-L4,train
P083_L4-L5,test
P083_L5-S1,test
P084_L3-L4,train
P084_L4-L5,train
P084_L5-S1,train
P085_L3-L4,train
P085_L4-L5,train
P085_L5-S1,train
P086_L3-L4,train
P086_L4-L5,test
P086_L5-S1,train
P087_L3-L4,test
P087_L4-L5,train
P087_L5-S1,train
P088_L3-L4,train
P088_L4-L5,test
P088_L5-S1,train
P089_L3-L4,train
P089_L4-L5,train
P089_L5-S1,train
P090_L3-L4,test
P090_L4-L5,train
P090_L5-S1,train
P091_L3-L4,test
P091_L4-L5,test
P091_L5-S1,train
P092_L3-L4,train
P092_L4-L5,test
P092_L5-S1,test
P093_L3-L4,train
P093_L4-L5,test
P093_L5-S1,train
P094_L3-L4,train
P094_L4-L5,train
P094_L5-S1,train
P095_L3-L4,train
P095_L4-L5,train
P095_L5-S1,train
P096_L3-L4,train
P096_L4-L5,train
P096_L5-S1,train
P097_L3-L4,train
P097_L4-L5,train
P097_L5-S1,train
P098_L3-L4,train
P098_L4-L5,train
P098_L5-S1,train
P099_L3-L4,test
P099_L4-L5,train
P099_L5-S1,test
P100_L3-L4,test
P100_L4-L5,test
P100_L5-S1,train
P101_L3-L4,train
P101_L4-L5,test
P101_L5-S1,train
P102_L3-L4,train
P102_L4-L5,train
P102_L5-S1,test
P103_L3-L4,train
P103_L4-L5,train
P103_L5-S1,train
P104_L3-L4,test
P104_L4-L5,train
P104_L5-S1,train
P105_L3-L4,train
P105_L4-L5,train
P105_L5-S1,train
P106_L3-L4,train
P106_L4-L5,test
P106_L5-S1,train
P107_L3-L4,test
P107_L4-L5,train
P107_L5-S1,train
P108_L3-L4,test
P108_L4-L5,train
P108_L5-S1,train
P109_L3-L4,train
P109_L4-L5,train
P109_L5-S1,train
P110_L3-L4,train
P110_L4-L5,train
P110_L5-S1,train
P111_L3-L4,test
P111_L4-L5,train
P111_L5-S1,test
P112_L3-L4,train
P112_L4-L5,train
P112_L5-S1,train
P113_L3-L4,train
P113_L4-L5,train
P113_L5-S1,train
P114_L3-L4,train
P114_L4-L5,train
P114_L5-S1,train
P115_L3-L4,train
P115_L4-L5,train
P115_L5-S1,train
P116_L3-L4,train
P116_L4-L5,train
P116_L5-S1,train
P117_L3-L4,test
P117_L4-L5,train
P117_L5-S1,train
P118_L3-L4,test
P118_L4-L5,test
P118_L5-S1,test
P119_L3-L4,train
P119_L4-L5,train
P119_L5-S1,train
P120_L3-L4,train
P120_L4-L5,test
P120_L5-S1,train
P121_L3-L4,train
P121_L4-L5,train
P121_L5-S1,train
P122_L3-L4,train
P122_L4-L5,train
P122_L5-S1,train
P123_L3-L4,train
P123_L4-L5,test
P123_L5-S1,train
P124_L3-L4,test
P124_L4-L5,test
P124_L5-S1,train
P125_L3-L4,test
P125_L4-L5,train
P125_L5-S1,train
P126_L3-L4,train
P126_L4-L5,train
P126_L5-S1,train
P127_L3-L4,train
P127_L4-L5,test
P127_L5-S1,train
P128_L3-L4,train
P128_L4-L5,test
P128_L5-S1,test
P129_L3-L4,train
P129_L4-L5,train
P129_L5-S1,train
P130_L3-L4,train
P130_L4-L5,train
P130_L5-S1,test
P131_L3-L4,train
P131_L4-L5,train
P131_L5-S1,train
P132_L3-L4,train
P132_L4-L5,train
P132_L5-S1,train
P133_L3-L4,train
P133_L4-L5,test
P133_L5-S1,test
P134_L3-L4,train
P134_L4-L5,train
P134_L5-S1,train
P135_L3-L4,train
P135_L4-L5,train
P135_L5-S1,train
P136_L3-L4,train
P136_L4-L5,train
P136_L5-S1,train
P137_L3-L4,train
P137_L4-L5,train
P137_L5-S1,train
P138_L3-L4,train
P138_L4-L5,train
P138_L5-S1,train
P139_L3-L4,train
P139_L4-L5,train
P139_L5-S1,train
P140_L3-L4,train
P140_L4-L5,train
P140_L5-S1,train
P141_L3-L4,test
P141_L4-L5,test
P141_L5-S1,train
P142_L3-L4,train
P142_L4-L5,train
P142_L5-S1,train
P143_L3-L4,train
P143_L4-L5,train
P143_L5-S1,train
P144_L3-L4,train
P144_L4-L5,test
P144_L5-S1,train
P145_L3-L4,train
P145_L4-L5,train
P145_L5-S1,train
P146_L3-L4,train
P146_L4-L5,train
P146_L5-S1,train
P147_L3-L4,train
P147_L4-L5,train
P147_L5-S1,train
P148_L3-L4,train
P148_L4-L5,test
P148_L5-S1,train
P149_L3-L4,test
P149_L4-L5,train
P149_L5-S1,test
P150_L3-L4,train
P150_L4-L5,test
P150_L5-S1,train
P151_L3-L4,train
P151_L4-L5,train
P151_L5-S1,train
P152_L3-L4,train
P152_L4-L5,train
P152_L5-S1,test
P153_L3-L4,train
P153_L4-L5,train
P153_L5-S1,train
P154_L3-L4,train
P154_L4-L5,train
P154_L5-S1,train
P155_L3-L4,train
P155_L4-L5,train
P155_L5-S1,train
P156_L3-L4,train
P156_L4-L5,train
P156_L5-S1,train
P157_L3-L4,test
P157_L4-L5,train
P157_L5-S1,train
P158_L3-L4,train
P158_L4-L5,test
P158_L5-S1,train
P159_L3-L4,train
P159_L4-L5,train
P159_L5-S1,train
P160_L3-L4,train
P160_L4-L5,train
P160_L5-S1,train
P161_L3-L4,train
P161_L4-L5,train
P161_L5-S1,train
P162_L3-L4,train
P162_L4-L5,train
P162_L5-S1,train
P163_L3-L4,train
P163_L4-L5,train
P163_L5-S1,train
P164_L3-L4,test
P164_L4-L5,train
P164_L5-S1,train
P165_L3-L4,test
P165_L4-L5,test
P165_L5-S1,test
P166_L3-L4,test
P166_L4-L5,train
P166_L5-S1,train
P167_L3-L4,train
P167_L4-L5,train
P167_L5-S1,train
P168_L3-L4,train
P168_L4-L5,test
P168_L5-S1,test
P169_L3-L4,train
P169_L4-L5,train
P169_L5-S1,train
P170_L3-L4,train
P170_L4-L5,train
P170_L5-S1,test
P171_L3-L4,train
P171_L4-L5,train
P171_L5-S1,train
P172_L3-L4,train
P172_L4-L5,train
P172_L5-S1,train
P173_L3-L4,test
P173_L4-L5,train
P173_L5-S1,train
P174_L3-L4,train
P174_L4-L5,train
P174_L5-S1,test
P175_L3-L4,test
P175_L4-L5,train
P175_L5-S1,train
P176_L3-L4,train
P176_L4-L5,train
P176_L5-S1,test
P177_L3-L4,train
P177_L4-L5,test
P177_L5-S1,train
P178_L3-L4,test
P178_L4-L5,train
P178_L5-S1,train
P179_L3-L4,train
P179_L4-L5,train
P179_L5-S1,test
P180_L3-L4,train
P180_L4-L5,train
P180_L5-S1,test
P181_L3-L4,train
P181_L4-L5,train
P181_L5-S1,train
P182_L3-L4,train
P182_L4-L5,test
P182_L5-S1,train
P183_L3-L4,train
P183_L4-L5,train
P183_L5-S1,train
P184_L3-L4,train
P184_L4-L5,train
P184_L5-S1,train
P185_L3-L4,train
P185_L4-L5,train
P185_L5-S1,train
P186_L3-L4,test
P186_L4-L5,train
P186_L5-S1,test
P187_L3-L4,train
P187_L4-L5,train
P187_L5-S1,train
P188_L3-L4,train
P188_L4-L5,train
P188_L5-S1,train
P189_L3-L4,train
P189_L4-L5,train
P189_L5-S1,train
P190_L3-L4,test
P190_L4-L5,train
P190_L5-S1,train
P191_L3-L4,train
P191_L4-L5,train
P191_L5-S1,test
P192_L3-L4,train
P192_L4-L5,train
P192_L5-S1,train
P193_L3-L4,train
P193_L4-L5,train
P193_L5-S1,train
P194_L3-L4,train
P194_L4-L5,train
P194_L5-S1,test
P195_L3-L4,train
P195_L4-L5,train
P195_L5-S1,train
P196_L3-L4,train
P196_L4-L5,train
P196_L5-S1,train
P197_L3-L4,train
P197_L4-L5,train
P197_L5-S1,train
P198_L3-L4,train
P198_L4-L5,train
P198_L5-S1,test
P199_L3-L4,train
P199_L4-L5,train
P199_L5-S1,train
P200_L3-L4,train
P200_L4-L5,train
P200_L5-S1,train
P201_L3-L4,train
P201_L4-L5,train
P201_L5-S1,train
P202_L3-L4,train
P202_L4-L5,test
P202_L5-S1,train
P203_L3-L4,train
P203_L4-L5,train
P203_L5-S1,train
P204_L3-L4,train
P204_L4-L5,train
P204_L5-S1,train
P205_L3-L4,train
P205_L4-L5,train
P205_L5-S1,train
P206_L3-L4,train
P206_L4-L5,train
P206_L5-S1,test
P207_L3-L4,train
P207_L4-L5,train
P207_L5-S1,test
P208_L3-L4,train
P208_L4-L5,train
P208_L5-S1,train
P209_L3-L4,train
P209_L4-L5,train
P209_L5-S1,train
P210_L3-L4,train
P210_L4-L5,test
P210_L5-S1,train
